"timestamp","source","message","level"
"2025-04-22T16:37:03.000Z","TK_AZ-OLT_PP08","TK_AZ-OLT_PP08 auditd[0]: ONU Deregister           PON 0/7 ONU 21 llid 48 00:6D:61:DB:C2:68 MPCP ONU initiates DEREG..","3"
"2025-04-22T16:37:03.000Z","TK_AZ_OLT-VE12","TK_AZ_OLT-VE12 auditd[0]: ONU AUTH Success         PON 0/6 ONU 60 1C:EF:03:E8:1E:21..","3"
"2025-04-22T16:37:03.000Z","TK_AZ_OLT-VE12","TK_AZ_OLT-VE12 auditd[0]: ONU Link Discover        PON 0/6 ONU 60 1C:EF:03:E8:1E:21..","3"
"2025-04-22T16:37:04.000Z","TK_AZ-OLT_KV02","TK_AZ-OLT_KV02 auditd[0]: ONU Link Event           PON 0/7 ONU 1 54:93:59:08:21:83 Errored Symbol Period.","3"
"2025-04-22T16:37:04.000Z","TK_AZ-OLT_PP08","TK_AZ-OLT_PP08 auditd[0]: ONU Register             PON 0/7 ONU 21 llid 48 00:6D:61:DB:C2:68..","3"
"2025-04-22T16:37:04.000Z","TK_AZ-OLT_PP08","TK_AZ-OLT_PP08 auditd[0]: ONU Link LOST            PON 0/7 ONU 21 00:6D:61:DB:C2:68..","3"
"2025-04-22T16:37:04.000Z","TK_AZ_OLT-VE12","TK_AZ_OLT-VE12 auditd[0]: ONU Finish               PON 0/6 ONU 60 1C:EF:03:E8:1E:21..","3"
"2025-04-22T16:37:04.191Z","10.220.4.1","hotspot,info,debug C0:25:2F:9E:BC:2B (10.5.50.57): trying to log in by mac","-1"
"2025-04-22T16:37:04.193Z","10.220.4.1","hotspot,account,info,debug C0:25:2F:9E:BC:2B (10.5.50.57): logged in","-1"
"2025-04-22T16:37:04.950Z","10.220.16.1","dhcp,warning dhcp-Users offering lease 10.5.50.6 for D8:32:14:F5:67:B1 without success","-1"
"2025-04-22T16:37:05.000Z","TK_AZ-OLT_KV02","TK_AZ-OLT_KV02 auditd[0]: ONU Link Event           PON 0/7 ONU 1 54:93:59:08:21:83 Errored Symbol Period.","3"
